workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,2,1,1,1,1,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,35140.725875,7857.932000,68.662148,40562.176943,1,populate,200,238,
lusearch,2,2,1,2,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,36.899208,18.990804,40651.403904,2,populate,200,238,
lusearch,2,3,1,3,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,111.930916,102.281916,40763.141870,3,populate,200,239,
lusearch,2,4,1,4,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.859834,7.340942,40778.223991,4,populate,200,237,
lusearch,2,5,1,5,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,14.570750,6.514610,40792.805910,5,populate,200,236,
lusearch,2,6,1,6,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,16.845625,6.754747,40808.346033,6,populate,200,237,
lusearch,2,7,1,7,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,17.081459,6.632741,40827.555895,7,populate,200,238,
lusearch,2,8,1,8,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,17.740333,9.538174,40845.444918,8,populate,200,237,
lusearch,2,9,1,9,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,26.238792,17.867957,40870.517015,9,populate,200,238,
lusearch,2,10,1,10,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,19.441708,11.264008,40890.795946,10,populate,200,240,
lusearch,2,11,1,11,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,21.705958,8.201775,40912.564039,11,populate,200,238,
lusearch,2,12,1,12,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.009167,6.671785,40925.952911,12,populate,200,238,
lusearch,2,13,1,13,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.921042,6.353144,40940.131903,13,populate,200,237,
lusearch,2,14,1,14,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,14.608458,6.944131,40957.315922,14,populate,200,238,
lusearch,2,15,1,15,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,17.661125,9.881983,40974.915981,15,populate,200,239,
lusearch,2,16,1,16,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,17.252916,8.005350,40992.371082,16,populate,200,237,
lusearch,2,17,1,17,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.060334,7.397737,41006.838083,17,populate,200,238,
lusearch,2,18,1,18,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,12.305791,5.997543,41019.988060,18,populate,200,238,
lusearch,2,19,1,19,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.187083,6.919921,41032.727003,19,populate,200,239,
lusearch,2,20,1,20,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,20.370125,10.148038,41053.891897,20,populate,200,239,
lusearch,2,21,1,21,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,18.927833,11.310761,41072.321892,21,populate,200,239,
lusearch,2,22,1,22,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,14.239250,8.418953,41087.748051,22,populate,200,237,
lusearch,2,23,1,23,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,12.056292,6.178802,41099.529982,23,populate,200,238,
lusearch,2,24,1,24,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.492083,6.181302,41111.413956,24,populate,200,238,
lusearch,2,25,1,25,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.246166,6.044712,41126.873970,25,populate,200,238,
lusearch,2,26,1,26,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.711792,6.344268,41140.681982,26,populate,200,239,
lusearch,2,27,1,27,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.580708,9.708433,41156.125069,27,populate,200,238,
lusearch,2,28,1,28,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.158833,5.575148,41172.117949,28,populate,200,239,
lusearch,2,29,1,29,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.573042,6.189802,41183.702946,29,populate,200,238,
lusearch,2,30,1,30,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,14.463333,5.662819,41194.292068,30,populate,200,239,
lusearch,2,31,1,31,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,17.224042,5.832744,41212.916851,31,populate,200,237,
lusearch,2,32,1,32,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.248166,5.912997,41227.088928,32,populate,200,239,
lusearch,2,33,1,33,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.055708,8.815430,41242.254019,33,populate,200,237,
lusearch,2,34,1,34,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.111167,5.981501,41253.370047,34,populate,200,237,
lusearch,2,35,1,35,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.590750,6.042129,41264.690876,35,populate,200,238,
lusearch,2,36,1,36,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.115459,5.553438,41276.335001,36,populate,200,238,
lusearch,2,37,1,37,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,13.181667,5.592648,41289.475918,37,populate,200,238,
lusearch,2,38,1,38,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.016291,9.526549,41304.744005,38,populate,200,238,
lusearch,2,39,1,39,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.417667,5.775740,41316.066980,39,populate,200,237,
lusearch,2,40,1,40,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,10.229375,5.385180,41326.799870,40,populate,200,237,
lusearch,2,41,1,41,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,15.137792,6.360644,41342.043877,41,populate,200,238,
lusearch,2,42,1,42,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.025917,6.343435,41353.255987,42,populate,200,238,
lusearch,2,43,1,43,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,10.396833,5.478935,41363.439083,43,populate,200,239,
lusearch,2,44,1,44,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,16.445917,9.240327,41379.294872,44,populate,200,239,
lusearch,2,45,1,45,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,11.626167,5.530229,41392.165899,45,populate,200,238,
lusearch,2,46,1,46,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,9.820666,5.438557,41402.284861,46,populate,200,238,
lusearch,2,47,1,47,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,10.879584,5.813118,41413.038969,47,populate,200,238,
lusearch,2,48,1,48,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,9.788000,5.379513,41423.042059,48,populate,200,237,
lusearch,2,49,1,49,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,9.429208,5.206338,41432.790995,49,populate,200,239,
lusearch,2,50,1,50,0,julia-precompile-69f75ddc6f-gljmq,7c2b2bae-de8f-461d-8512-2f5e3942d521,,12.572041,8.057602,41445.172071,50,populate,200,238,
