workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,2,1,1,1,1,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,33338.127375,5213.302708,84.008466,36014.370918,1,populate,200,249,
lusearch,2,2,1,2,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,14.792792,6.466876,36059.438944,2,populate,200,248,
lusearch,2,3,1,3,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,16.425667,6.618638,36073.144913,3,populate,200,247,
lusearch,2,4,1,4,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,40.887125,13.947580,36116.304874,4,populate,200,248,
lusearch,2,5,1,5,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,33.264459,16.685834,36149.113894,5,populate,200,248,
lusearch,2,6,1,6,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,52.025292,20.894285,36201.534986,6,populate,200,248,
lusearch,2,7,1,7,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,98.593416,48.169814,36281.429052,7,populate,200,249,
lusearch,2,8,1,8,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,44.383208,12.614519,36345.883846,8,populate,200,248,
lusearch,2,9,1,9,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,328.051208,262.111761,36653.668880,9,populate,200,249,
lusearch,2,10,1,10,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,47.581417,18.362336,36723.451853,10,populate,200,249,
lusearch,2,11,1,11,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,20.940000,10.379344,36744.744062,11,populate,200,250,
lusearch,2,12,1,12,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,20.662209,13.381742,36765.091896,12,populate,200,249,
lusearch,2,13,1,13,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,70.130959,61.959331,36834.760904,13,populate,200,250,
lusearch,2,14,1,14,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,20.074459,9.442771,36854.758024,14,populate,200,247,
lusearch,2,15,1,15,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,18.465333,8.422110,36873.543024,15,populate,200,247,
lusearch,2,16,1,16,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,16.307042,8.812307,36891.502857,16,populate,200,248,
lusearch,2,17,1,17,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,15.850417,8.836766,36907.353878,17,populate,200,248,
lusearch,2,18,1,18,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,22.867583,11.085731,36929.937840,18,populate,200,249,
lusearch,2,19,1,19,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,22.264958,12.644227,36952.558994,19,populate,200,249,
lusearch,2,20,1,20,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,14.512167,7.150594,36967.844963,20,populate,200,248,
lusearch,2,21,1,21,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,13.358667,7.284313,36981.449842,21,populate,200,246,
lusearch,2,22,1,22,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,13.536000,7.171387,36994.534016,22,populate,200,248,
lusearch,2,23,1,23,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,13.873083,8.327727,37008.671999,23,populate,200,248,
lusearch,2,24,1,24,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,17.351250,10.652199,37026.093960,24,populate,200,249,
lusearch,2,25,1,25,0,julia-precompile-7b64cdd547-8m955,a3026524-fa99-49ea-a663-636b7781c40d,,14.225583,7.972783,37040.668964,25,populate,200,249,
