workload,size,invocation,segment,invocation_in_segment,churn,pod,pod_uid,restart_ms,http_latency_ms,handler_elapsed_ms,process_uptime_ms,request_in_pod,cache_mode,status,response_bytes,error
lusearch,2,1,1,1,1,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,32624.643500,2505.632417,29.072168,33894.444942,1,populate,200,239,
lusearch,2,2,1,2,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,16.027542,11.984759,33934.463024,2,populate,200,239,
lusearch,2,3,1,3,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,19.539167,15.521206,33953.810930,3,populate,200,239,
lusearch,2,4,1,4,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,8.948542,4.502820,33963.273048,4,populate,200,236,
lusearch,2,5,1,5,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.666458,4.491113,33971.310854,5,populate,200,237,
lusearch,2,6,1,6,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.412125,4.413529,33978.672028,6,populate,200,237,
lusearch,2,7,1,7,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.857959,4.778861,33986.588001,7,populate,200,237,
lusearch,2,8,1,8,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,22.371750,18.926655,34008.758068,8,populate,200,238,
lusearch,2,9,1,9,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,16.931000,13.386212,34025.676012,9,populate,200,239,
lusearch,2,10,1,10,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.692875,4.405987,34033.891916,10,populate,200,239,
lusearch,2,11,1,11,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.215625,4.448696,34041.306019,11,populate,200,239,
lusearch,2,12,1,12,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,12.610291,4.387779,34048.490047,12,populate,200,239,
lusearch,2,13,1,13,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,8.441084,4.446571,34062.362909,13,populate,200,238,
lusearch,2,14,1,14,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.679792,4.374613,34070.024014,14,populate,200,238,
lusearch,2,15,1,15,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,13.928500,7.306813,34081.079006,15,populate,200,238,
lusearch,2,16,1,16,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,8.924333,4.734445,34092.936039,16,populate,200,238,
lusearch,2,17,1,17,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,8.920125,5.068194,34101.855993,17,populate,200,239,
lusearch,2,18,1,18,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,8.819084,5.513567,34110.774040,18,populate,200,238,
lusearch,2,19,1,19,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.743833,4.508446,34118.768930,19,populate,200,238,
lusearch,2,20,1,20,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.533625,4.403654,34126.420975,20,populate,200,239,
lusearch,2,21,1,21,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,9.916083,6.313399,34135.974884,21,populate,200,237,
lusearch,2,22,1,22,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.292375,4.407529,34143.939018,22,populate,200,238,
lusearch,2,23,1,23,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.882417,4.379071,34151.655912,23,populate,200,238,
lusearch,2,24,1,24,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.409417,4.365404,34159.157991,24,populate,200,237,
lusearch,2,25,1,25,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,12.896375,4.419571,34166.790009,25,populate,200,238,
lusearch,2,26,1,26,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.516708,4.380404,34179.702997,26,populate,200,238,
lusearch,2,27,1,27,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,9.888500,6.313857,34189.630032,27,populate,200,238,
lusearch,2,28,1,28,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.536541,4.373571,34197.386980,28,populate,200,238,
lusearch,2,29,1,29,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.192833,4.439154,34204.729080,29,populate,200,239,
lusearch,2,30,1,30,0,julia-precompile-5957d46bbb-phsrv,bac3f3e6-ceb2-416c-9432-538ef82e1523,,7.179708,4.354238,34211.922884,30,populate,200,238,
